SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Hap02_000001-T1	Hap01_008952-T1	0.560273	1.668752	0.335744	1318.423517	373.576483	1.145079	2.415042	1998
Hap02_000002-T1	Hap01_004527-T1	0.590982	1.703618	0.346898	2713.801681	1144.198319	1.102076	2.762896	5160
Hap02_000003-T1	Hap01_004525-T1	0.300430	1.887828	0.159141	4411.435907	1567.564093	1.300286	2.149834	8943
Hap02_000004-T1	Hap01_006771-T1	0.422014	2.048766	0.205984	1409.353799	498.646201	1.457100	2.541472	2577
Hap02_000007-T1	Hap01_004546-T1	0.483626	3.444694	0.140397	707.780801	219.219199	1.239277	3.551600	2025
Hap02_000008-T1	Hap01_004547-T1	0.464131	2.330855	0.199125	458.286246	147.713754	1.677890	2.757447	681
Hap02_000009-T1	Hap01_004548-T1	0.339843	1.275980	0.266339	849.896936	386.103064	2.033820	1.896823	1371
Hap02_000010-T1	Hap01_002178-T1	0.672824	2.914431	0.230859	644.879003	246.120997	1.204077	3.876070	1356
Hap02_000013-T1	Hap01_004549-T1	0.118748	1.334498	0.088983	933.418266	341.581734	1.089747	1.333369	1890
Hap02_000015-T1	Hap01_004552-T1	0.074757	1.634327	0.045741	249.887003	104.112997	0.487288	1.600299	519
Hap02_000017-T1	Hap01_004562-T1	0.405549	1.936488	0.209425	1153.617546	463.382454	1.556390	2.532808	1857
Hap02_000018-T1	Hap01_004591-T1	0.152955	1.862878	0.082107	3011.795849	852.204151	1.024005	1.590234	4272
Hap02_000021-T1	Hap01_004545-T1	0.148800	1.579499	0.094207	1650.577121	548.422879	1.411198	1.516834	2229
Hap02_000024-T1	Hap01_004544-T1	0.276829	2.247674	0.123163	517.283243	136.716757	0.933684	2.066486	819
Hap02_000028-T1	Hap01_004539-T1	0.477710	1.403543	0.340360	1690.136312	655.863688	1.072296	2.209627	3960
Hap02_000030-T1	Hap01_004538-T1	0.201692	1.714808	0.117618	1116.052065	404.947935	1.758559	1.813622	1791
Hap02_000032-T1	Hap01_004535-T1	0.338992	2.005413	0.169038	770.213198	249.786802	1.294846	2.241240	1059
Hap02_000033-T1	Hap01_004570-T1	0.301595	2.677673	0.112633	583.013785	217.986215	1.673355	2.844682	870
Hap02_000034-T1	Hap01_004568-T1	0.283512	1.457783	0.194481	680.859243	231.140757	1.916701	1.743370	2640
Hap02_000035-T1	Hap01_004592-T1	0.198415	3.384177	0.058630	241.874695	91.125305	1.795923	3.210592	342
Hap02_000038-T1	Hap01_004593-T1	0.386057	1.514426	0.254920	476.703879	147.296121	1.499131	1.957230	750
Hap02_000039-T1	Hap01_004594-T1	0.285166	1.528431	0.186574	1125.397166	401.602834	1.235896	1.836439	1860
Hap02_000040-T1	Hap01_004595-T1	0.342889	1.948662	0.175961	608.559443	255.440557	1.746613	2.452902	1092
Hap02_000041-T1	Hap01_004596-T1	0.220762	1.948068	0.113324	2561.449329	735.550671	1.233873	1.818356	3645
Hap02_000042-T1	Hap01_004597-T1	0.200114	1.578444	0.126779	411.228884	104.771116	0.661482	1.439930	597
Hap02_000043-T1	Hap01_004598-T1	0.249762	1.750715	0.142663	214.901250	64.098750	1.615392	1.783794	372
Hap02_000049-T1	Hap01_004526-T1	0.227723	2.507321	0.090823	554.266425	171.733575	1.054811	2.300869	2505
Hap02_000050-T1	Hap01_001217-T1	0.247373	2.141993	0.115487	942.845609	275.154391	1.230122	2.026141	1299
Hap02_000051-T1	Hap01_004523-T1	0.693257	2.199882	0.315134	740.781225	294.218775	1.701970	3.364634	2289
Hap02_000055-T1	Hap01_004520-T1	0.184613	1.957845	0.094294	1214.860261	339.139739	1.136941	1.714791	1725
Hap02_000060-T1	Hap01_004518-T1	0.201131	3.922599	0.051275	683.182421	186.817579	0.829871	3.000759	975
Hap02_000061-T1	Hap01_001400-T1	0.283119	1.739924	0.162719	1089.357680	284.642320	1.045307	1.754747	1413
Hap02_000062-T1	Hap01_004516-T1	0.396583	1.502145	0.264011	2048.839642	744.160358	1.300537	2.073439	3672
Hap02_000065-T1	Hap01_008796-T1	0.110996	1.866772	0.059459	809.730715	252.269285	1.283044	1.584199	1083
Hap02_000066-T1	Hap01_008797-T1	0.181862	3.889078	0.046762	619.348348	178.651652	1.285229	3.035438	996
Hap02_000069-T1	Hap01_008798-T1	0.116646	1.183414	0.098568	1214.660927	462.339073	1.196263	1.232244	1905
Hap02_000070-T1	Hap01_008799-T1	0.243679	2.225572	0.109491	605.538891	177.461109	1.234940	2.078581	876
Hap02_000072-T1	Hap01_008800-T1	0.218847	1.607412	0.136149	541.176050	193.823950	1.341994	1.755061	3903
Hap02_000073-T1	Hap01_008801-T1	0.207256	1.979760	0.104687	466.528762	154.471238	1.349631	1.944477	744
Hap02_000074-T1	Hap01_008802-T1	0.367903	1.441550	0.255213	551.106675	189.893325	1.647112	1.929127	762
Hap02_000075-T1	Hap01_008803-T1	0.107498	2.341335	0.045913	1004.627763	303.372237	1.276794	1.876814	1377
Hap02_000077-T1	Hap01_008805-T1	0.106064	1.665478	0.063684	615.269893	179.730107	1.460752	1.375828	1251
Hap02_000078-T1	Hap01_008807-T1	0.105178	2.039275	0.051576	399.476549	122.523451	1.508538	1.677443	702
Hap02_000079-T1	Hap01_008808-T1	0.377236	1.949709	0.193483	764.027504	270.972496	1.544427	2.366772	1350
Hap02_000080-T1	Hap01_008809-T1	0.211364	4.303806	0.049111	1090.430424	310.569576	0.939915	3.355693	3306
Hap02_000083-T1	Hap01_008814-T1	0.372362	1.957796	0.190194	688.593769	250.406231	1.350186	2.385465	1164
Hap02_000084-T1	Hap01_008812-T1	0.144980	2.154477	0.067293	1964.724452	645.275548	1.581486	1.925377	2805
Hap02_000087-T1	Hap01_008818-T1	0.167266	1.739600	0.096152	1328.487363	381.512637	1.107963	1.554194	2133
Hap02_000088-T1	Hap01_008817-T1	0.296130	1.305611	0.226813	844.339725	322.660275	1.122357	1.725715	1431
Hap02_000092-T1	Hap01_002144-T1	0.502335	1.831905	0.274215	1078.310125	376.689875	1.729867	2.539656	1980
Hap02_000094-T1	Hap01_008823-T1	0.260608	3.312551	0.078673	642.055025	233.944975	1.622063	3.226985	951
Hap02_000095-T1	Hap01_008788-T1	0.415410	1.977551	0.210063	1020.314951	341.685049	1.347275	2.421914	2130
Hap02_000096-T1	Hap01_008789-T1	0.237427	2.097211	0.113211	3484.370098	1102.629902	1.304637	2.053454	4851
Hap02_000097-T1	Hap01_008790-T1	0.173013	2.200439	0.078627	537.486239	170.513761	2.008928	1.983887	777
Hap02_000099-T1	Hap01_008782-T1	0.144598	2.903000	0.049810	2754.698306	734.301694	1.260576	2.175409	5316
Hap02_000101-T1	Hap01_008781-T1	0.202912	1.368654	0.148256	1189.536988	403.463012	1.391874	1.494487	1839
Hap02_000102-T1	Hap01_008780-T1	0.120836	2.689744	0.044925	1666.340882	460.659118	1.213498	2.031607	2682
Hap02_000103-T1	Hap01_000293-T1	0.394812	1.475083	0.267654	639.810328	236.189672	1.854781	2.058234	7401
Hap02_000106-T1	Hap01_008776-T1	0.213059	1.647301	0.129338	1825.561564	616.438436	1.494545	1.725321	3027
Hap02_000108-T1	Hap01_008455-T1	0.040486	0.062842	0.644244	825.754967	326.245033	2.676109	0.140451	1152
Hap02_000109-T1	Hap01_008767-T1	0.217114	1.473099	0.147386	889.261072	304.738928	1.564257	1.613019	1983
Hap02_000110-T1	Hap01_008766-T1	0.282719	1.328829	0.212758	859.928837	325.071163	1.492368	1.709068	1410
Hap02_000112-T1	Hap01_008764-T1	0.239593	1.799715	0.133128	1774.954805	607.045195	1.214373	1.911555	2877
Hap02_000113-T1	Hap01_010335-T1	0.546939	1.672841	0.326952	1070.446075	384.553925	1.352380	2.533539	1701
Hap02_000114-T1	Hap01_005953-T1	0.233015	1.105672	0.210745	1315.033331	538.966669	1.623080	1.460101	2817
Hap02_000115-T1	Hap01_008763-T1	0.364212	2.244272	0.162285	3159.044769	989.955231	1.149186	2.438388	4827
Hap02_000118-T1	Hap01_008768-T1	0.238087	1.935246	0.123027	594.837896	200.162104	1.187524	1.996173	801
Hap02_000119-T1	Hap01_008769-T1	0.369350	1.435006	0.257385	996.998765	389.001235	1.351481	2.005325	2928
Hap02_000121-T1	Hap01_008770-T1	0.308037	3.270552	0.094185	239.685292	78.314708	1.428490	3.112870	507
Hap02_000122-T1	Hap01_010502-T1	0.789810	2.215196	0.356542	1198.256936	397.743064	1.528948	3.435101	2589
Hap02_000123-T1	Hap01_008772-T1	0.805799	2.222743	0.362525	547.050433	181.949567	0.757409	3.478354	807
Hap02_000125-T1	Hap01_008773-T1	0.163751	1.421981	0.115157	1360.898036	475.101964	1.572501	1.468031	2901
Hap02_000126-T1	Hap01_008774-T1	0.218896	1.566713	0.139717	2471.057056	840.942944	1.288438	1.683353	3852
Hap02_000127-T1	Hap01_008775-T1	0.102872	1.608924	0.063939	1799.423979	498.576021	1.027390	1.288879	2718
Hap02_000129-T1	Hap01_008755-T1	0.182715	1.878391	0.097272	940.526084	349.473916	2.044395	1.926272	1290
Hap02_000130-T1	Hap01_008756-T1	0.193733	2.249557	0.086120	463.478350	175.521650	1.965896	2.275290	858
Hap02_000131-T1	Hap01_008757-T1	0.142809	1.870341	0.076355	2809.777441	991.222559	1.422389	1.779942	4623
Hap02_000133-T1	Hap01_004097-T1	0.499968	2.131690	0.234541	536.056924	162.943076	0.901164	2.641010	1059
Hap02_000138-T1	Hap01_008456-T1	0.203603	0.279125	0.729433	449.815510	138.184490	1.070332	0.664054	1263
Hap02_000139-T1	Hap01_008751-T1	0.085471	1.576765	0.054206	1338.550735	389.449265	1.322695	1.264717	1785
Hap02_000140-T1	Hap01_008752-T1	0.189206	2.582338	0.073269	579.287003	206.712997	1.268666	2.455754	999
Hap02_000142-T1	Hap01_008746-T1	0.258618	1.128923	0.229084	454.464555	190.535445	1.675804	1.547128	810
Hap02_000143-T1	Hap01_008745-T1	0.235273	1.610751	0.146064	3194.184070	915.815930	1.442473	1.625297	4560
Hap02_000144-T1	Hap01_007494-T1	0.161099	1.643025	0.098050	1508.976633	444.023367	0.878660	1.494063	2004
Hap02_000145-T1	Hap01_010285-T1	0.669974	1.129041	0.593401	438.527655	152.472345	2.017883	2.365228	888
Hap02_000146-T1	Hap01_008743-T1	0.218582	1.273605	0.171625	764.116528	339.883472	1.568653	1.630161	1287
Hap02_000147-T1	Hap01_008742-T1	0.241790	1.216831	0.198705	1668.451375	605.548625	1.154581	1.504308	2769
Hap02_000148-T1	Hap01_008739-T1	0.179618	2.076960	0.086481	1917.895720	584.104280	1.569506	1.867686	2751
Hap02_000149-T1	Hap01_008738-T1	0.174444	1.976500	0.088259	608.198499	201.801501	0.706442	1.870211	942
Hap02_000150-T1	Hap01_008737-T1	0.259578	2.670812	0.097191	394.549836	121.450164	1.118943	2.481320	633
Hap02_000151-T1	Hap01_008736-T1	0.226524	5.622146	0.040291	387.034514	137.965486	1.199700	4.933341	663
Hap02_000153-T1	Hap01_008727-T1	0.092320	2.621282	0.035220	1030.673420	307.326580	1.040232	2.019601	1740
Hap02_000154-T1	Hap01_008726-T1	0.433799	1.240862	0.349595	560.929396	204.070604	0.957686	1.947271	1080
Hap02_000155-T1	Hap01_008725-T1	0.290932	1.243294	0.234001	495.272470	209.727530	1.497546	1.722740	1080
Hap02_000156-T1	Hap01_008724-T1	0.095391	1.614227	0.059094	808.812774	277.187226	1.181895	1.449162	1386
Hap02_000157-T1	Hap01_008723-T1	0.383624	1.798056	0.213355	1545.488034	473.511966	1.189842	2.146042	4359
Hap02_000160-T1	Hap01_008732-T1	0.209306	2.971428	0.070440	1463.423909	456.576091	1.169581	2.598416	1959
Hap02_000161-T1	Hap01_008733-T1	0.264702	2.405205	0.110054	1682.121374	630.878626	1.271991	2.545595	2718
Hap02_000163-T1	Hap01_008729-T1	0.162039	1.565820	0.103485	1135.203071	346.796929	1.385037	1.471596	1779
Hap02_000164-T1	Hap01_008730-T1	0.283759	1.707211	0.166212	898.031527	316.968473	0.918151	1.965325	1668
Hap02_000167-T1	Hap01_008721-T1	0.459794	1.700968	0.270313	5535.493378	1940.506622	1.301435	2.345878	9969
Hap02_000169-T1	Hap01_008715-T1	0.168456	1.876705	0.089761	1429.961915	427.038085	1.287072	1.683861	3552
Hap02_000170-T1	Hap01_005039-T1	0.744558	1.335238	0.557622	615.054970	206.945030	1.981505	2.679800	1389
Hap02_000172-T1	Hap01_008714-T1	0.312154	1.164493	0.268060	1539.677758	620.322242	1.330613	1.670802	3207
Hap02_000174-T1	Hap01_008713-T1	0.231022	2.183914	0.105784	593.432580	204.567420	1.798807	2.194939	1044
Hap02_000175-T1	Hap01_008712-T1	0.273847	1.577857	0.173556	1398.744209	470.255791	1.201684	1.805839	1941
Hap02_000176-T1	Hap01_004428-T1	0.419300	2.537359	0.165251	906.645382	311.354618	1.336398	2.882205	1701
Hap02_000179-T1	Hap01_008710-T1	0.126857	1.920584	0.066051	988.702146	325.297854	1.121061	1.712752	1542
Hap02_000180-T1	Hap01_008709-T1	0.208872	1.323679	0.157797	1922.441743	786.558257	1.300642	1.597670	3270
Hap02_000182-T1	Hap01_008707-T1	0.145833	2.367184	0.061606	619.342688	187.657312	0.993272	1.987137	1227
Hap02_000183-T1	Hap01_008706-T1	0.238007	1.208707	0.196910	444.667005	194.332995	2.538603	1.599650	855
Hap02_000185-T1	Hap01_008662-T1	0.314829	1.641703	0.191770	1238.839390	486.160610	1.162695	2.066355	2490
Hap02_000193-T1	Hap01_008665-T1	0.384303	2.037294	0.188634	2987.371870	1059.628130	1.381898	2.451320	6207
Hap02_000194-T1	Hap01_008666-T1	0.091636	1.512637	0.060581	1990.106356	526.893644	1.019616	1.167301	3132
Hap02_000196-T1	Hap01_008667-T1	0.280302	1.236718	0.226650	3128.346631	1206.653369	1.440321	1.639566	5298
Hap02_000198-T1	Hap01_008670-T1	0.177972	4.016249	0.044313	763.336410	211.663590	1.092440	3.033681	1110
Hap02_000199-T1	Hap01_008671-T1	0.174937	3.215961	0.054397	946.651433	286.348567	1.808361	2.643529	1701
Hap02_000201-T1	Hap01_008674-T1	0.288772	1.857863	0.155432	1872.456546	596.543454	1.262838	2.003656	3981
Hap02_000202-T1	Hap01_008673-T1	0.517372	2.778842	0.186183	1087.135625	355.864375	0.928848	3.225249	1893
Hap02_000203-T1	Hap01_008672-T1	0.266028	1.431885	0.185789	377.410860	141.589140	2.636743	1.752262	5316
Hap02_000204-T1	Hap01_008676-T1	0.167496	2.053692	0.081559	764.170424	225.829576	0.881717	1.793273	996
Hap02_000205-T1	Hap01_008677-T1	0.050385	1.560315	0.032292	745.869522	202.130478	1.301643	1.116988	957
Hap02_000206-T1	Hap01_008678-T1	0.100894	1.016457	0.099260	316.559449	130.440551	1.349488	1.104202	705
Hap02_000209-T1	Hap01_008680-T1	0.143953	1.919346	0.075001	1383.658113	455.341887	2.092307	1.750636	1917
Hap02_000210-T1	Hap01_000455-T1	0.887320	4.543822	0.195281	1219.296967	427.703033	1.023339	5.510588	2073
Hap02_000211-T1	Hap01_008683-T1	0.588232	1.432723	0.410569	3264.216833	1319.783167	1.496276	2.494111	6294
Hap02_000212-T1	Hap01_008684-T1	0.390940	1.437803	0.271901	3239.602149	1107.397851	1.245448	1.972885	5622
Hap02_000213-T1	Hap01_008685-T1	0.380287	2.132643	0.178317	2158.402130	670.597870	1.497600	2.387019	3651
Hap02_000214-T1	Hap01_008687-T1	0.822895	1.643079	0.500825	615.938839	230.061161	1.041869	3.137807	912
Hap02_000215-T1	Hap01_008688-T1	0.379432	3.977445	0.095396	549.008902	200.991098	1.660323	4.030971	765
Hap02_000216-T1	Hap01_008689-T1	0.082922	3.502124	0.023678	612.452809	200.547191	1.569550	2.779065	816
Hap02_000217-T1	Hap01_008690-T1	0.276989	2.837196	0.097628	310.683648	145.316352	2.264188	3.278598	507
Hap02_000218-T1	Hap01_008691-T1	0.243967	1.618341	0.150751	608.339946	213.660054	1.546561	1.803612	1029
Hap02_000219-T1	Hap01_008692-T1	0.345557	3.201495	0.107936	2847.146992	1040.853008	1.188363	3.330353	4728
Hap02_000222-T1	Hap01_008701-T1	0.508159	1.764569	0.287979	1350.974749	542.025251	1.557446	2.603725	2613
Hap02_000223-T1	Hap01_008700-T1	0.529373	1.540005	0.343748	1360.372160	496.627840	1.080091	2.398956	2427
Hap02_000225-T1	Hap01_001742-T1	0.700572	1.675018	0.418248	849.895409	293.104591	1.475761	2.851362	3450
Hap02_000226-T1	Hap01_008698-T1	0.109519	1.508464	0.072603	279.993515	77.006485	0.942238	1.233834	597
Hap02_000227-T1	Hap01_008693-T1	0.167146	1.459660	0.114510	2680.720490	955.279510	2.116604	1.520178	5409
Hap02_000230-T1	Hap01_008645-T1	0.080285	1.639916	0.048957	621.933023	248.066977	1.742781	1.574969	906
Hap02_000231-T1	Hap01_008647-T1	0.110237	1.019947	0.108081	239.654085	75.345915	0.581678	0.983501	531
Hap02_000232-T1	Hap01_008646-T1	0.479689	1.908783	0.251306	1385.398512	480.601488	1.152697	2.543287	2223
Hap02_000233-T1	Hap01_010244-T1	0.376942	4.189609	0.089971	1146.294441	266.705559	1.149072	3.289763	2718
Hap02_000234-T1	Hap01_008651-T1	0.378212	1.746849	0.216511	919.654950	301.345050	1.262973	2.147982	1722
Hap02_000235-T1	Hap01_008650-T1	0.272168	3.016979	0.090212	596.616314	201.383686	1.530969	2.894549	894
Hap02_000236-T1	Hap01_008653-T1	0.291002	1.608557	0.180908	431.347407	168.652593	1.132697	1.984050	702
Hap02_000237-T1	Hap01_008654-T1	0.252820	1.421001	0.177917	242.134465	81.865535	1.874922	1.643959	357
Hap02_000239-T1	Hap01_008655-T1	0.328542	2.562561	0.128209	2574.510868	722.489132	1.077965	2.454284	3786
Hap02_000240-T1	Hap01_008656-T1	0.407370	2.142629	0.190126	1383.563018	452.436982	1.158161	2.504946	2868
Hap02_000241-T1	Hap01_008657-T1	0.691437	1.240838	0.557234	1909.357933	775.642067	1.376760	2.550443	3507
Hap02_000242-T1	Hap01_008658-T1	0.180411	1.371360	0.131556	543.936252	176.063748	1.586191	1.414912	864
Hap02_000243-T1	Hap01_010467-T1	0.778914	2.150854	0.362142	618.873140	182.126860	1.289072	3.272573	1251
Hap02_000246-T1	Hap01_008705-T1	0.328123	2.940320	0.111594	1899.025658	614.974342	0.992485	2.901355	3630
Hap02_000247-T1	Hap01_008608-T1	0.040604	1.799826	0.022560	1130.371298	321.628702	1.469366	1.290853	1545
Hap02_000248-T1	Hap01_008609-T1	0.163002	2.083365	0.078240	748.221604	253.778396	1.536603	1.948127	1293
Hap02_000249-T1	Hap01_008610-T1	0.111251	1.548384	0.071849	2166.699584	701.300416	1.385418	1.388001	3132
Hap02_000250-T1	Hap01_005046-T1	0.737528	2.085530	0.353640	512.001260	180.998740	0.943079	3.268803	855
Hap02_000251-T1	Hap01_008612-T1	0.115956	1.743551	0.066506	936.790921	203.209079	1.147157	1.218242	1584
Hap02_000253-T1	Hap01_008613-T1	0.076270	1.332242	0.057249	362.482671	102.517329	0.748640	1.059513	465
Hap02_000254-T1	Hap01_008614-T1	0.400752	4.210052	0.095189	1700.361805	600.638195	1.250693	4.185321	3270
Hap02_000255-T1	Hap01_008617-T1	0.144453	2.521708	0.057284	796.197932	265.802068	1.707899	2.218329	1473
Hap02_000256-T1	Hap01_008616-T1	0.501665	1.546458	0.324396	227.850050	87.149950	2.127326	2.372173	390
Hap02_000257-T1	Hap01_008619-T1	0.085334	1.658262	0.051460	2854.442564	769.557436	1.243305	1.258037	3918
Hap02_000260-T1	Hap01_008621-T1	0.196194	1.819628	0.107821	720.506642	227.493358	1.252295	1.757317	1023
Hap02_000262-T1	Hap01_008622-T1	0.236116	1.920396	0.122952	589.903356	202.096644	1.421151	1.997694	801
Hap02_000263-T1	Hap01_008623-T1	0.147375	2.076436	0.070975	629.382255	204.617745	1.266309	1.861982	1005
Hap02_000264-T1	Hap01_008624-T1	0.417048	1.590800	0.262162	3571.748843	1354.251157	1.150134	2.219204	5982
Hap02_000265-T1	Hap01_008625-T1	0.312763	2.082703	0.150172	1921.106772	682.893228	1.732706	2.330778	3195
Hap02_000266-T1	Hap01_008629-T1	0.157126	1.060820	0.148117	391.058011	151.941989	1.276823	1.229992	9408
Hap02_000271-T1	Hap01_008631-T1	0.186969	1.730780	0.108026	2068.661492	595.338508	1.088668	1.595918	2715
Hap02_000274-T1	Hap01_008634-T1	0.538565	2.739086	0.196622	682.571749	226.428251	0.855894	3.260117	1401
Hap02_000275-T1	Hap01_008636-T1	0.258056	1.861140	0.138655	800.821903	288.178097	1.410245	2.046822	1578
Hap02_000277-T1	Hap01_008640-T1	0.401667	1.347251	0.298138	944.022226	375.977774	1.761996	2.012997	1770
Hap02_000278-T1	Hap01_008641-T1	0.298200	1.531135	0.194757	1233.395721	443.604279	1.553881	1.873017	2037
Hap02_000281-T1	Hap01_008644-T1	0.206422	1.558923	0.132413	1363.085800	454.914200	1.194518	1.634566	1962
Hap02_000283-T1	Hap01_007646-T1	0.620968	4.239437	0.146474	968.973387	285.026613	1.219867	4.330273	1632
Hap02_000284-T1	Hap01_008606-T1	0.206979	2.093890	0.098849	1024.557632	304.442368	1.114421	1.917678	1545
Hap02_000285-T1	Hap01_008605-T1	0.127745	2.673680	0.047779	211.535215	67.464785	0.948280	2.230126	372
Hap02_000286-T1	Hap01_008599-T1	0.204932	2.030422	0.100931	1411.021479	445.978521	0.980389	1.930029	2601
Hap02_000288-T1	Hap01_008600-T1	0.094281	3.255498	0.028960	286.241465	76.758535	0.492373	2.288218	444
Hap02_000289-T1	Hap01_008601-T1	0.207865	3.056875	0.067999	366.764578	131.235422	2.104553	2.875952	1347
Hap02_000290-T1	Hap01_008602-T1	0.281608	2.283325	0.123332	630.049220	173.950780	0.921706	2.144078	918
Hap02_000292-T1	Hap01_000610-T1	0.191116	2.249176	0.084972	876.220361	269.779639	1.317933	2.026811	1431
Hap02_000296-T1	Hap01_001422-T1	0.403800	1.621289	0.249061	622.487156	196.512844	1.703080	2.087782	1104
Hap02_000297-T1	Hap01_000666-T1	0.315297	1.733608	0.181873	1040.570326	366.429674	1.152418	2.054017	1860
Hap02_000298-T1	Hap01_000667-T1	0.074179	1.285427	0.057708	711.764323	254.235677	1.196584	1.178880	1068
Hap02_000300-T1	Hap01_000671-T1	0.612489	2.764539	0.221552	478.006494	145.993506	1.026546	3.347973	720
Hap02_000301-T1	Hap01_000670-T1	0.364033	1.505303	0.241834	987.644584	383.355416	1.481533	2.049455	1494
Hap02_000302-T1	Hap01_000635-T1	0.477496	1.637304	0.291635	645.312261	245.687739	1.166876	2.391916	1080
Hap02_000303-T1	Hap01_000637-T1	0.528634	2.359835	0.224013	764.514795	264.485205	1.567066	2.997931	1512
Hap02_000304-T1	Hap01_000638-T1	0.382694	1.670634	0.229071	695.951133	255.048867	1.538424	2.184320	1410
Hap02_000307-T1	Hap01_000642-T1	0.117148	4.737716	0.024727	922.140559	229.859441	0.875387	3.117281	3135
Hap02_000311-T1	Hap01_000632-T1	0.180139	1.480330	0.121688	1238.461769	444.538231	1.543625	1.570692	1998
Hap02_000312-T1	Hap01_000631-T1	0.274056	3.642836	0.075231	381.347495	128.652505	1.286567	3.371592	654
Hap02_000313-T1	Hap01_000630-T1	0.153057	1.298728	0.117852	2112.745100	683.254900	1.873895	1.299070	3039
Hap02_000315-T1	Hap01_000605-T1	0.161690	1.488389	0.108635	1724.884225	510.115775	1.294522	1.393487	3036
Hap02_000316-T1	Hap01_004715-T1	0.602078	1.522156	0.395543	827.506026	312.493974	1.513162	2.562863	2787
Hap02_000317-T1	Hap01_000602-T1	0.055656	2.132147	0.026103	693.771921	209.228079	0.463767	1.610356	942
Hap02_000318-T1	Hap01_000601-T1	0.100430	1.558497	0.064440	546.613086	182.386914	1.940578	1.395661	804
Hap02_000319-T1	Hap01_000608-T1	0.134466	1.224717	0.109793	1242.999711	494.000289	1.550979	1.333595	3780
Hap02_000320-T1	Hap01_000609-T1	0.190942	2.140756	0.089194	1088.928808	360.071192	1.569835	2.026392	1584
